,Country Name,Country Code,Year,PIB_(1000_US$)
107,India,IND,1960,37029883.8754573
109,Ireland,IRL,1960,1939329.77543739
110,"Iran, Islamic Rep.",IRN,1960,4199134.390126021
111,Iraq,IRQ,1960,1684121.5345841502
112,Iceland,ISL,1960,248434.096968726
113,Israel,ISR,1960,2598500.0
114,Italy,ITA,1960,40385288.344191104
115,Jamaica,JAM,1960,699050.67898642
117,Japan,JPN,1960,44307342.9504
119,Kenya,KEN,1960,791265.4588180761
121,Cambodia,KHM,1960,637142.8657142861
123,St. Kitts and Nevis,KNA,1960,12366.563611969901
124,"Korea, Rep.",KOR,1960,3957240.2605632
126,Latin America & Caribbean (excluding high income),LAC,1960,73151522.1980891
132,Latin America & Caribbean,LCN,1960,81613512.1732962
136,Sri Lanka,LKA,1960,1409873.9495798303
138,Low & middle income,LMY,1960,330585049.20010805
139,Lesotho,LSO,1960,34579.308413831706
140,Late-demographic dividend,LTE,1960,185994645.19043303
142,Luxembourg,LUX,1960,703925.705942958
146,Morocco,MAR,1960,2037150.71633238
149,Madagascar,MDG,1960,673081.7240763219
152,Mexico,MEX,1960,13040000.0
154,Middle income,MIC,1960,317410776.77961
164,Mauritania,MRT,1960,92609.2436889684
166,Malawi,MWI,1960,162956.740865183
167,Malaysia,MYS,1960,1916241.99660264
168,North America,NAC,1960,583846188.346727
171,Niger,NER,1960,449526.87256556103
172,Nigeria,NGA,1960,4196092.25815484
173,Nicaragua,NIC,1960,223854.66666666698
174,Netherlands,NLD,1960,12276734.1720828
175,Norway,NOR,1960,5163271.59815702
176,Nepal,NPL,1960,508334.413965087
178,New Zealand,NZL,1960,5485854.791970961
179,OECD members,OED,1960,1071468336.1623299
182,Pakistan,PAK,1960,3707055.9008819796
183,Panama,PAN,1960,537147.1
184,Peru,PER,1960,2571908.06207692
185,Philippines,PHL,1960,6684568.8050688105
187,Papua New Guinea,PNG,1960,230496.032981216
189,Pre-demographic dividend,PRE,1960,11137268.1910773
190,Puerto Rico,PRI,1960,1691900.0
192,Portugal,PRT,1960,3193200.40437297
196,Post-demographic dividend,PST,1960,1042336802.98228
201,Rwanda,RWA,1960,119000.024
202,South Asia,SAS,1960,47133397.3630513
204,Sudan,SDN,1960,1307333.3333333302
205,Senegal,SEN,1960,1003692.3745578901
206,Singapore,SGP,1960,704756.304717104
208,Sierra Leone,SLE,1960,322009.47156703996
211,Somalia,SOM,1960,180459.936776025
213,Sub-Saharan Africa (excluding high income),SSA,1960,29867628.3628087
215,Sub-Saharan Africa,SSF,1960,29878659.9862387
218,Suriname,SUR,1960,99650.0
221,Sweden,SWE,1960,15822585.033576401
222,Eswatini,SWZ,1960,35076.1584768305
224,Seychelles,SYC,1960,12012.0252477875
225,Syrian Arab Republic,SYR,1960,857704.431686497
227,Chad,TCD,1960,313582.727638056
228,East Asia & Pacific (IDA & IBRD countries),TEA,1960,80089105.70919791
230,Togo,TGO,1960,121128.073114022
231,Thailand,THA,1960,2760747.47188624
234,Latin America & the Caribbean (IDA & IBRD countries),TLA,1960,76702300.5930354
238,South Asia (IDA & IBRD),TSA,1960,47133397.3630513
239,Sub-Saharan Africa (IDA & IBRD countries),TSS,1960,29878659.9862387
240,Trinidad and Tobago,TTO,1960,535670.127748935
242,Turkey,TUR,1960,13995067.817509199
245,Uganda,UGA,1960,423008.385744235
247,Upper middle income,UMC,1960,229239622.75982198
248,Uruguay,URY,1960,1242289.2392049301
249,United States,USA,1960,543300000.0
251,St. Vincent and the Grenadines,VCT,1960,13066.557778685199
252,"Venezuela, RB",VEN,1960,7779090.909090909
257,World,WLD,1960,1372745092.83071
261,South Africa,ZAF,1960,7575396.972871371
262,Zambia,ZMB,1960,713000.0
263,Zimbabwe,ZWE,1960,1052990.4
265,Afghanistan,AFG,1961,548888.8955555559
275,Australia,AUS,1961,19652816.6648001
276,Austria,AUT,1961,7311749.63336229
278,Burundi,BDI,1961,202999.992
279,Belgium,BEL,1961,12400145.221594999
280,Benin,BEN,1961,235668.222429984
281,Burkina Faso,BFA,1961,350247.23711684
282,Bangladesh,BGD,1961,4817580.18360155
285,"Bahamas, The",BHS,1961,190098.03921568603
288,Belize,BLZ,1961,29964.3707125857
289,Bermuda,BMU,1961,89249.98670071558
290,Bolivia,BOL,1961,406684.58571929403
291,Brazil,BRA,1961,15236854.859469
295,Botswana,BWA,1961,32902.336644746
296,Central African Republic,CAF,1961,123134.584467673
297,Canada,CAN,1961,40934952.0639468
299,Switzerland,CHE,1961,10712712.4650522
301,Chile,CHL,1961,4609727.27272727
302,China,CHN,1961,50056868.9576732
303,Cote d'Ivoire,CIV,1961,618245.639221382
304,Cameroon,CMR,1961,657597.382759152
305,"Congo, Dem. Rep.",COD,1961,3086746.85714286
306,"Congo, Rep.",COG,1961,151675.73916060303
307,Colombia,COL,1961,4540447.76119403
310,Costa Rica,CRI,1961,490325.181614275
311,Caribbean small states,CSS,1961,2033050.12882565
321,Dominican Republic,DOM,1961,654100.2
322,Algeria,DZA,1961,2434776.64573628
323,East Asia & Pacific (excluding high income),EAP,1961,70449585.72754699
324,Early-demographic dividend,EAR,1961,153410573.862243
325,East Asia & Pacific,EAS,1961,153708058.744078
328,Ecuador,ECU,1961,1753850.41670826
330,Euro area,EMU,1961,269034156.024696
332,Spain,ESP,1961,13834300.5714849
335,European Union,EUU,1961,396166787.73479795
337,Finland,FIN,1961,5921659.48503284
338,Fiji,FJI,1961,116987.784913739
339,France,FRA,1961,67461644.2220352
342,Gabon,GAB,1961,167637.907381696
343,United Kingdom,GBR,1961,77741965.7033544
345,Ghana,GHA,1961,1302674.26419915
351,Greece,GRC,1961,4961400.439317221
354,Guatemala,GTM,1961,1076699.9
356,Guyana,GUY,1961,185848.45126290602
357,High income,HIC,1961,1124132120.74306
358,"Hong Kong SAR, China",HKG,1961,1383681.65113776
359,Honduras,HND,1961,356200.0
360,Heavily indebted poor countries (HIPC),HPC,1961,17802236.5330763
362,Haiti,HTI,1961,271066.0
364,IBRD only,IBD,1961,293249829.453609
365,IDA & IBRD total,IBT,1961,333250755.69097304
366,IDA total,IDA,1961,40205993.6508977
367,IDA blend,IDB,1961,13116425.056467501
369,IDA only,IDX,1961,27988594.1461269
371,India,IND,1961,39232435.784094594
373,Ireland,IRL,1961,2088012.28235667
374,"Iran, Islamic Rep.",IRN,1961,4426949.09475238
375,Iraq,IRQ,1961,1831700.3640436898
376,Iceland,ISL,1961,253885.656329253
377,Israel,ISR,1961,3138500.0
378,Italy,ITA,1961,44842760.2931924
379,Jamaica,JAM,1961,748028.839423211
381,Japan,JPN,1961,53508617.7393778
383,Kenya,KEN,1961,792959.4721390241
385,Cambodia,KHM,1961,642857.1342857139
387,St. Kitts and Nevis,KNA,1961,12483.2293064224
388,"Korea, Rep.",KOR,1961,2417638.4232221497
390,Latin America & Caribbean (excluding high income),LAC,1961,76524296.0129825
396,Latin America & Caribbean,LCN,1961,86410123.2612544
400,Sri Lanka,LKA,1961,1444327.7310924402
402,Low & middle income,LMY,1961,318334125.64336306
403,Lesotho,LSO,1961,35699.28601427971
404,Late-demographic dividend,LTE,1961,171750252.790009
406,Luxembourg,LUX,1961,704145.6713502129
410,Morocco,MAR,1961,2025689.5366070499
413,Madagascar,MDG,1961,699161.943857103
416,Mexico,MEX,1961,14160000.0
418,Middle income,MIC,1961,305088718.998657
428,Mauritania,MRT,1961,107726.20564351999
430,Malawi,MWI,1961,174576.50846983102
431,Malaysia,MYS,1961,1901868.54828172
432,North America,NAC,1961,604324202.050648
435,Niger,NER,1961,485785.23494037596
436,Nigeria,NGA,1961,4467200.33599328
437,Nicaragua,NIC,1961,240524.723428571
438,Netherlands,NLD,1961,13493833.7399949
439,Norway,NOR,1961,5632460.93654576
440,Nepal,NPL,1961,531959.56162226
442,New Zealand,NZL,1961,5670064.16821773
443,OECD members,OED,1961,1126410611.5885901
446,Pakistan,PAK,1961,4054599.18101638
447,Panama,PAN,1961,599026.3
448,Peru,PER,1961,2899654.8403656697
449,Philippines,PHL,1961,7256966.966225559
451,Papua New Guinea,PNG,1961,244832.03503252598
453,Pre-demographic dividend,PRE,1961,11521375.6751399
454,Puerto Rico,PRI,1961,1865100.0
456,Portugal,PRT,1961,3417516.6393759605
460,Post-demographic dividend,PST,1961,1102073879.98077
465,Rwanda,RWA,1961,122000.016
466,South Asia,SAS,1961,50273091.9664492
468,Sudan,SDN,1961,1419333.3333333302
469,Senegal,SEN,1961,1058975.2655888302
470,Singapore,SGP,1961,764634.783744937
472,Sierra Leone,SLE,1961,327834.68055710295
475,Somalia,SOM,1961,191659.91437603402
477,Sub-Saharan Africa (excluding high income),SSA,1961,31048172.0417899
479,Sub-Saharan Africa,SSF,1961,31058630.403819803
482,Suriname,SUR,1961,107700.0
485,Sweden,SWE,1961,17212686.6145726
486,Eswatini,SWZ,1961,43025.1994960101
488,Seychelles,SYC,1961,11592.0243649283
489,Syrian Arab Republic,SYR,1961,945244.9922113061
491,Chad,TCD,1961,333975.33662654104
492,East Asia & Pacific (IDA & IBRD countries),TEA,1961,70304349.3730514
494,Togo,TGO,1961,126396.46970705802
495,Thailand,THA,1961,3034043.57406071
498,Latin America & the Caribbean (IDA & IBRD countries),TLA,1961,81094144.30038
502,South Asia (IDA & IBRD),TSA,1961,50273091.9664492
503,Sub-Saharan Africa (IDA & IBRD countries),TSS,1961,31058630.4038199
504,Trinidad and Tobago,TTO,1961,584961.208656595
506,Turkey,TUR,1961,7988888.88888889
509,Uganda,UGA,1961,441524.109014675
511,Upper middle income,UMC,1961,209108752.829256
512,Uruguay,URY,1961,1547388.78143133
513,United States,USA,1961,563300000.0
515,St. Vincent and the Grenadines,VCT,1961,13999.8833343055
516,"Venezuela, RB",VEN,1961,8189090.909090909
521,World,WLD,1961,1428066740.16095
525,South Africa,ZAF,1961,7972996.81399047
526,Zambia,ZMB,1961,696285.7142857139
527,Zimbabwe,ZWE,1961,1096646.6
529,Afghanistan,AFG,1962,546666.677777778
535,Argentina,ARG,1962,24450604.8776081
539,Australia,AUS,1962,19892485.160712298
540,Austria,AUT,1962,7756110.210119659
542,Burundi,BDI,1962,213500.006
543,Belgium,BEL,1962,13264015.6753193
544,Benin,BEN,1962,236434.90675427002
545,Burkina Faso,BFA,1962,379567.178256898
546,Bangladesh,BGD,1962,5081413.33978635
549,"Bahamas, The",BHS,1962,212254.90196078402
552,Belize,BLZ,1962,31856.9228615428
553,Bermuda,BMU,1962,94149.9859705588
554,Bolivia,BOL,1962,444665.18639710196
555,Brazil,BRA,1962,19926293.8390163
559,Botswana,BWA,1962,35643.20762652461
560,Central African Republic,CAF,1962,124482.748937917
561,Canada,CAN,1962,42227447.631915905
563,Switzerland,CHE,1962,11879982.7585619
565,Chile,CHL,1962,5416272.72727273
566,China,CHN,1962,47209359.0056056
567,Cote d'Ivoire,CIV,1962,645284.3446841179
568,Cameroon,CMR,1962,699373.701217138
569,"Congo, Dem. Rep.",COD,1962,3779841.4285714296
570,"Congo, Rep.",COG,1962,166521.23986331
571,Colombia,COL,1962,4955543.96336869
574,Costa Rica,CRI,1962,479180.824348506
575,Caribbean small states,CSS,1962,2148346.21171623
585,Dominican Republic,DOM,1962,824100.0
586,Algeria,DZA,1962,2001468.86773344
587,East Asia & Pacific (excluding high income),EAP,1962,64557035.1804419
588,Early-demographic dividend,EAR,1962,158519173.231035
589,East Asia & Pacific,EAS,1962,157269698.11313298
592,Ecuador,ECU,1962,1518208.22123052
594,Euro area,EMU,1962,298895676.246292
596,Spain,ESP,1962,16138545.209246
599,European Union,EUU,1962,431994913.60522795
601,Finland,FIN,1962,6340580.85439073
602,Fiji,FJI,1962,122906.434957814
603,France,FRA,1962,75607529.8099288
606,Gabon,GAB,1962,182796.536499917
607,United Kingdom,GBR,1962,81247564.1568246
609,Ghana,GHA,1962,1382515.59006942
614,Equatorial Guinea,GNQ,1962,9122.75145318345
615,Greece,GRC,1962,5213047.71142704
618,Guatemala,GTM,1962,1143600.0
620,Guyana,GUY,1962,194948.37543020502
621,High income,HIC,1962,1213473242.38973
622,"Hong Kong SAR, China",HKG,1962,1612346.41226475
623,Honduras,HND,1962,387750.0
624,Heavily indebted poor countries (HIPC),HPC,1962,19378081.5527169
626,Haiti,HTI,1962,281896.8
628,IBRD only,IBD,1962,305438070.118813
629,IDA & IBRD total,IBT,1962,348884027.88515
630,IDA total,IDA,1962,43341430.3447408
631,IDA blend,IDB,1962,14016894.5627006
633,IDA only,IDX,1962,30317728.0201912
635,India,IND,1962,42161481.8587014
637,Ireland,IRL,1962,2260349.6840862497
638,"Iran, Islamic Rep.",IRN,1962,4693566.41643859
639,Iraq,IRQ,1962,1954634.8361803398
640,Iceland,ISL,1962,284916.516159537
641,Israel,ISR,1962,2510000.0
642,Italy,ITA,1962,50383891.89899109
643,Jamaica,JAM,1962,777712.445751085
645,Japan,JPN,1962,60723018.6837333
647,Kenya,KEN,1962,868111.400014073
649,Cambodia,KHM,1962,660000.0085714291
651,St. Kitts and Nevis,KNA,1962,12541.5621536487
652,"Korea, Rep.",KOR,1962,2813856.97637299
654,Latin America & Caribbean (excluding high income),LAC,1962,87601060.2261783
660,Latin America & Caribbean,LCN,1962,98841377.5627098
664,Sri Lanka,LKA,1962,1434156.3786008197
666,Low & middle income,LMY,1962,332200322.02085197
667,Lesotho,LSO,1962,41859.1628167437
668,Late-demographic dividend,LTE,1962,180189421.75379002
670,Luxembourg,LUX,1962,741509.4807962839
674,Morocco,MAR,1962,2379606.42229029
677,Madagascar,MDG,1962,739286.9068515531
680,Mexico,MEX,1962,15200000.0
682,Middle income,MIC,1962,317309425.444282
692,Mauritania,MRT,1962,111148.610793216
694,Malawi,MWI,1962,183116.337673247
695,Malaysia,MYS,1962,2001502.6786881
696,North America,NAC,1962,647421597.6178871
699,Niger,NER,1962,531736.492909178
700,Nigeria,NGA,1962,4909302.95394092
701,Nicaragua,NIC,1962,265291.588666667
702,Netherlands,NLD,1962,14647057.3701418
703,Norway,NOR,1962,6066976.682673641
704,Nepal,NPL,1962,574091.1011943821
706,New Zealand,NZL,1962,6077496.267762939
707,OECD members,OED,1962,1215859427.64126
710,Pakistan,PAK,1962,4233095.5900882
711,Panama,PAN,1962,652120.9
712,Peru,PER,1962,3286773.18787687
713,Philippines,PHL,1962,4399827.76796704
715,Papua New Guinea,PNG,1962,261184.03737230098
717,Pre-demographic dividend,PRE,1962,12583839.8748797
718,Puerto Rico,PRI,1962,2094400.0
720,Portugal,PRT,1962,3668222.35765702
724,Post-demographic dividend,PST,1962,1189958161.35093
729,Rwanda,RWA,1962,125000.008
730,South Asia,SAS,1962,53650243.8911709
732,Sudan,SDN,1962,1541666.6666666698
733,Senegal,SEN,1962,1085475.5734895898
734,Singapore,SGP,1962,826244.60995688
736,Sierra Leone,SLE,1962,342721.579817636
739,Somalia,SOM,1962,203531.927547229
741,Sub-Saharan Africa (excluding high income),SSA,1962,33641805.3646243
743,Sub-Saharan Africa,SSF,1962,33653229.4769922
746,Suriname,SUR,1962,116150.0
749,Sweden,SWE,1962,18667251.3800746
750,Eswatini,SWZ,1962,45927.0614587708
752,Seychelles,SYC,1962,12642.0265718964
753,Syrian Arab Republic,SYR,1962,1110565.86353737
755,Chad,TCD,1962,357635.71387692203
756,East Asia & Pacific (IDA & IBRD countries),TEA,1962,64423946.6980921
758,Togo,TGO,1962,132237.44163086297
759,Thailand,THA,1962,3308912.7969348696
762,Latin America & the Caribbean (IDA & IBRD countries),TLA,1962,92821686.0227066
766,South Asia (IDA & IBRD),TSA,1962,53650243.8911709
767,Sub-Saharan Africa (IDA & IBRD countries),TSS,1962,33653229.4769923
768,Trinidad and Tobago,TTO,1962,619319.197340022
770,Turkey,TUR,1962,8922222.22222222
773,Uganda,UGA,1962,449012.57861635194
775,Upper middle income,UMC,1962,219102530.29915303
776,Uruguay,URY,1962,1710004.40722785
777,United States,USA,1962,605100000.0
779,St. Vincent and the Grenadines,VCT,1962,14524.878959342
780,"Venezuela, RB",VEN,1962,8946969.6969697
785,World,WLD,1962,1532502322.7988899
789,South Africa,ZAF,1962,8497996.60420055
790,Zambia,ZMB,1962,693142.857142857
791,Zimbabwe,ZWE,1962,1117601.6
793,Afghanistan,AFG,1963,751111.1911111111
799,Argentina,ARG,1963,18272123.6644715
803,Australia,AUS,1963,21507447.6425132
804,Austria,AUT,1963,8374175.25773075
806,Burundi,BDI,1963,232749.998
807,Belgium,BEL,1963,14260017.3870492
808,Benin,BEN,1963,253927.646475909
809,Burkina Faso,BFA,1963,394040.74912567
810,Bangladesh,BGD,1963,5319458.35116235
813,"Bahamas, The",BHS,1963,237745.098039216
816,Belize,BLZ,1963,33749.4050118998
817,Bermuda,BMU,1963,96366.65230691651
818,Bolivia,BOL,1963,478805.990083307
819,Brazil,BRA,1963,23021477.2922093
823,Botswana,BWA,1963,38091.150566196
824,Central African Republic,CAF,1963,129379.097888958
825,Canada,CAN,1963,45029988.561212406
827,Switzerland,CHE,1963,13063643.7957884
829,Chile,CHL,1963,5668187.5
830,China,CHN,1963,50706799.9025103
831,Cote d'Ivoire,CIV,1963,761047.0458304019
832,Cameroon,CMR,1963,723624.365288138
833,"Congo, Dem. Rep.",COD,1963,6213185.74257426
834,"Congo, Rep.",COG,1963,172233.43087148402
835,Colombia,COL,1963,4836166.66666667
838,Costa Rica,CRI,1963,511902.13680997305
839,Caribbean small states,CSS,1963,2284412.6761523103
849,Dominican Republic,DOM,1963,940799.9
850,Algeria,DZA,1963,2703014.86732834
851,East Asia & Pacific (excluding high income),EAP,1963,69906308.93164161
852,Early-demographic dividend,EAR,1963,168067606.367728
853,East Asia & Pacific,EAS,1963,175497179.806025
856,Ecuador,ECU,1963,1824344.4920716898
858,Euro area,EMU,1963,335427732.787682
860,Spain,ESP,1963,19074913.9477196
863,European Union,EUU,1963,476970629.206161
865,Finland,FIN,1963,6885920.32866187
866,Fiji,FJI,1963,129454.72862359899
867,France,FRA,1963,84759195.1058693
870,Gabon,GAB,1963,154480.244246828
871,United Kingdom,GBR,1963,86561961.81232491
873,Ghana,GHA,1963,1540797.5167946902
878,Equatorial Guinea,GNQ,1963,10840.095128364901
879,Greece,GRC,1963,5895278.0240920205
882,Guatemala,GTM,1963,1262800.0
884,Guyana,GUY,1963,175756.868692761
885,High income,HIC,1963,1307209354.3984098
886,"Hong Kong SAR, China",HKG,1963,1935298.2664538398
887,Honduras,HND,1963,410200.0
888,Heavily indebted poor countries (HIPC),HPC,1963,23390430.0685224
890,Haiti,HTI,1963,294883.4
892,IBRD only,IBD,1963,326176096.14220697
893,IDA & IBRD total,IBT,1963,375280106.95410997
894,IDA total,IDA,1963,48745560.8329504
895,IDA blend,IDB,1963,14825026.7415839
897,IDA only,IDX,1963,35222226.9750605
899,India,IND,1963,48421923.4587413
901,Ireland,IRL,1963,2430843.76844553
902,"Iran, Islamic Rep.",IRN,1963,4928628.01838989
903,Iraq,IRQ,1963,1978437.6925231
904,Iceland,ISL,1963,340061.650119898
905,Israel,ISR,1963,2992333.33333333
906,Italy,ITA,1963,57710743.0598341
907,Jamaica,JAM,1963,826690.466190676
909,Japan,JPN,1963,69498131.7973333
911,Kenya,KEN,1963,926589.348572953
913,Cambodia,KHM,1963,728571.4371428571
915,St. Kitts and Nevis,KNA,1963,12833.226389780099
916,"Korea, Rep.",KOR,1963,3988476.87875723
918,Latin America & Caribbean (excluding high income),LAC,1963,88011983.8775782
924,Latin America & Caribbean,LCN,1963,99753020.96243021
928,Sri Lanka,LKA,1963,1240672.2689075598
930,Low & middle income,LMY,1963,357907098.28014004
931,Lesotho,LSO,1963,47039.0592188156
932,Late-demographic dividend,LTE,1963,195293290.60846102
934,Luxembourg,LUX,1963,791140.595772755
938,Morocco,MAR,1963,2657247.3273392
941,Madagascar,MDG,1963,759345.862971331
944,Mexico,MEX,1963,16960000.0
946,Middle income,MIC,1963,339014385.28275704
956,Mauritania,MRT,1963,113797.38261572299
958,Malawi,MWI,1963,190816.183676326
959,Malaysia,MYS,1963,2510126.74768065
960,North America,NAC,1963,683726355.21352
963,Niger,NER,1963,586294.7614935159
964,Nigeria,NGA,1963,5165489.0102198
965,Nicaragua,NIC,1963,292916.24114285695
966,Netherlands,NLD,1963,15891241.386291001
967,Norway,NOR,1963,6510239.50276489
968,Nepal,NPL,1963,496947.904443033
970,New Zealand,NZL,1963,6638937.283139629
971,OECD members,OED,1963,1311112687.92986
974,Pakistan,PAK,1963,4540529.10541789
975,Panama,PAN,1963,722784.5
976,Peru,PER,1963,3600957.77115299
977,Philippines,PHL,1963,4875309.86634017
979,Papua New Guinea,PNG,1963,275968.039487715
981,Pre-demographic dividend,PRE,1963,14669393.968341002
982,Puerto Rico,PRI,1963,2333600.0
984,Portugal,PRT,1963,3905734.4597269297
988,Post-demographic dividend,PST,1963,1281801055.32081
993,Rwanda,RWA,1963,128000.0
994,South Asia,SAS,1963,60342498.1125706
996,Sudan,SDN,1963,1568333.3333333302
997,Senegal,SEN,1963,1122139.6372569301
998,Singapore,SGP,1963,917614.007578727
1000,Sierra Leone,SLE,1963,348546.952134368
1003,Somalia,SOM,1963,216145.93594162603
1005,Sub-Saharan Africa (excluding high income),SSA,1963,38549954.0564376
1007,Sub-Saharan Africa,SSF,1963,38562409.5788422
1010,Suriname,SUR,1963,125950.0
1013,Sweden,SWE,1963,20204870.629744098
1014,Eswatini,SWZ,1963,54128.37743245129
1016,Seychelles,SYC,1963,13923.0292643975
1017,Syrian Arab Republic,SYR,1963,1200447.4293556302
1019,Chad,TCD,1963,371767.002655998
1020,East Asia & Pacific (IDA & IBRD countries),TEA,1963,69762192.5772213
1022,Togo,TGO,1963,143255.78451075102
1023,Thailand,THA,1963,3540403.45655305
1026,Latin America & the Caribbean (IDA & IBRD countries),TLA,1963,93431297.9041934
1030,South Asia (IDA & IBRD),TSA,1963,60342498.1125706
1031,Sub-Saharan Africa (IDA & IBRD countries),TSS,1963,38562409.5788422
1032,Trinidad and Tobago,TTO,1963,678235.373038558
1034,Turkey,TUR,1963,10355555.555555599
1037,Uganda,UGA,1963,516147.79874213797
1039,Upper middle income,UMC,1963,229418701.779504
1040,Uruguay,URY,1963,1539681.49078174
1041,United States,USA,1963,638600000.0
1043,St. Vincent and the Grenadines,VCT,1963,13708.219098174199
1044,"Venezuela, RB",VEN,1963,9753333.33333333
1049,World,WLD,1963,1650921563.59525
1053,South Africa,ZAF,1963,9423396.23441086
1054,Zambia,ZMB,1963,718714.2857142861
1055,Zimbabwe,ZWE,1963,1159511.7
1057,Afghanistan,AFG,1964,800000.044444444
1063,Argentina,ARG,1964,25605249.3817597
1067,Australia,AUS,1964,23764139.3213126
1068,Austria,AUT,1964,9169983.885711849
1070,Burundi,BDI,1964,260750.008
1071,Belgium,BEL,1964,15960106.6806732
1072,Benin,BEN,1964,269818.988259263
1073,Burkina Faso,BFA,1964,410321.78563105897
1074,Bangladesh,BGD,1964,5386054.619349871
1077,"Bahamas, The",BHS,1964,266666.666666667
1080,Belize,BLZ,1964,36193.826123477505
1081,Bermuda,BMU,1964,107566.650637987
1082,Bolivia,BOL,1964,539491.477320156
1083,Brazil,BRA,1964,21211892.259990398
1087,Botswana,BWA,1964,41613.9690506064
1088,Central African Republic,CAF,1964,142025.069461676
1089,Canada,CAN,1964,49377522.896703
1091,Switzerland,CHE,1964,14480556.5715476
1093,Chile,CHL,1964,5982347.82608696
1094,China,CHN,1964,59708343.488504305
1095,Cote d'Ivoire,CIV,1964,921063.2664455211
1096,Cameroon,CMR,1964,782384.527813649
1097,"Congo, Dem. Rep.",COD,1964,2881545.27272727
1098,"Congo, Rep.",COG,1964,185693.724845363
1099,Colombia,COL,1964,5973366.66666667
1102,Costa Rica,CRI,1964,542578.3672425981
1103,Caribbean small states,CSS,1964,2463899.9906458003
1113,Dominican Republic,DOM,1964,1025599.9
1114,Algeria,DZA,1964,2909351.7925865897
1115,East Asia & Pacific (excluding high income),EAP,1964,81049247.3206315
1116,Early-demographic dividend,EAR,1964,192951350.29030898
1117,East Asia & Pacific,EAS,1964,201633451.909161
1120,Ecuador,ECU,1964,2244146.8679019497
1122,Euro area,EMU,1964,373119780.407515
1124,Spain,ESP,1964,21343844.6437341
1127,European Union,EUU,1964,527904889.80936605
1129,Finland,FIN,1964,7766655.08578588
1130,Fiji,FJI,1964,140032.741468329
1131,France,FRA,1964,94007851.0473678
1134,Gabon,GAB,1964,215679.855272553
1135,United Kingdom,GBR,1964,94407558.3511616
1137,Ghana,GHA,1964,1731296.11887113
1142,Equatorial Guinea,GNQ,1964,12712.4713960211
1143,Greece,GRC,1964,6669673.257118301
1146,Guatemala,GTM,1964,1299099.9
1148,Guyana,GUY,1964,194773.376888526
1149,High income,HIC,1964,1426841705.39903
1150,"Hong Kong SAR, China",HKG,1964,2206466.4612643397
1151,Honduras,HND,1964,457000.0
1152,Heavily indebted poor countries (HIPC),HPC,1964,20868468.7060681
1154,Haiti,HTI,1964,325281.2
1156,IBRD only,IBD,1964,369936251.9880229
1157,IDA & IBRD total,IBT,1964,417387020.410646
1158,IDA total,IDA,1964,47795309.4633779
1159,IDA blend,IDB,1964,16205156.533662202
1161,IDA only,IDX,1964,32538431.1314079
1163,India,IND,1964,56480289.9408261
1165,Ireland,IRL,1964,2766608.94587402
