Year,Country,Commodity Code,Animal health,Consumer information,Cost saving,Food safety,Harmonization,Labelling,Lower barriers to trade,National security requirements,Not specified,Other,Plant protection,Prevention of deceptive practices and consumer protection,Protect humans from animal/plant pest or disease,Protect territory from other damage from pests,Protection of Human health or Safety,Protection of animal or plant life or health,Protection of the environment,Quality requirements
2007,Armenia,1204,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,1205,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,1206,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,1207,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,1209,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,1210,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,1211,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,1214,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,2302,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,3002,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,4401,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,4403,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,4404,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,4406,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,4407,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,4409,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,4415,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,4416,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,9406,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,121291,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,121299,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Australia,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2007,Australia,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2007,Australia,6,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2007,Australia,7,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2007,Australia,8,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2007,Australia,306,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Australia,407,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Australia,1201,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Australia,1507,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Australia,160520,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Australia,210310,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Brazil,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
2007,Brazil,6,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
2007,Brazil,31,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
2007,Brazil,102,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,Brazil,103,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,Brazil,104,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,Brazil,106,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
2007,Brazil,201,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,Brazil,203,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,Brazil,204,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,Brazil,402,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Brazil,403,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Brazil,511,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Brazil,803,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,Brazil,806,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,Brazil,1005,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,Brazil,1006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Brazil,1201,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Brazil,1202,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2007,Brazil,1214,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,Brazil,7133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Brazil,40640,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Brazil,51110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Brazil,60220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,Brazil,60290,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2007,Brazil,70310,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,Brazil,70700,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2007,Brazil,70990,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2007,Brazil,80450,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2007,Brazil,80550,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2007,Brazil,80711,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2007,Brazil,80810,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2007,Brazil,81050,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2007,Brazil,100610,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2007,Brazil,120922,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2007,Canada,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,Canada,102,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Canada,201,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Canada,602,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,Canada,603,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,Canada,604,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,Canada,1214,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,Canada,2309,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Canada,3101,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Canada,81040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,Chile,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Chile,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,Chile,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,Chile,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,Chile,601,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,Chile,705,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,Chile,712,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,Chile,901,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,Chile,1006,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,Chile,1206,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,Chile,1211,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,Chile,60290,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,Chile,120991,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,Chile,121110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,China,1101,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Chinese Taipei,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,Chinese Taipei,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Chinese Taipei,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Chinese Taipei,101,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Chinese Taipei,102,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Chinese Taipei,708,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Chinese Taipei,713,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Chinese Taipei,1006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Chinese Taipei,80550,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,Colombia,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,Colombia,2,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Colombia,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,Colombia,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,Colombia,101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Colombia,102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Colombia,103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Colombia,104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Colombia,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Colombia,201,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Colombia,203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Colombia,207,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Colombia,301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Colombia,404,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,Colombia,407,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Colombia,511,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Colombia,1063,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Colombia,20630,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Costa Rica,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Costa Rica,3,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Costa Rica,302,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,Costa Rica,705,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,Costa Rica,1006,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,Costa Rica,71333,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,Egypt,70110,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2007,European Union,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,European Union,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2007,European Union,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,23,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,European Union,105,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,European Union,106,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,European Union,201,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,European Union,202,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,European Union,203,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,204,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,European Union,205,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,206,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,European Union,207,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,208,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,European Union,209,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,210,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,European Union,401,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,402,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,403,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,404,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,405,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,407,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,408,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,European Union,504,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,European Union,505,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,European Union,506,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,European Union,511,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,European Union,602,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2007,European Union,701,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,703,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,European Union,709,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,710,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,713,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,801,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,802,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,803,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,805,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,808,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,809,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,810,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,902,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,1001,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,1002,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,1003,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,1004,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,1005,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,1006,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,1007,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,1008,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,1201,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,1205,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,1206,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,European Union,1207,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,1210,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,1502,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,European Union,1521,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,European Union,1601,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,European Union,1602,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,European Union,2309,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,European Union,3002,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,European Union,4101,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,European Union,4205,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,European Union,10519,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,European Union,10599,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,European Union,10690,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,European Union,20890,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,European Union,70390,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,70420,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,70511,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,70519,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,70521,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,70610,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,70690,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,70820,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,European Union,70940,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,80450,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,80720,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,80810,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,European Union,80910,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,European Union,80930,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,European Union,81020,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,81030,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,81040,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,81120,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,90411,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,European Union,120999,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2007,Honduras,2,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
2007,Honduras,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Honduras,4,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
2007,Honduras,6,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
2007,Honduras,7,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
2007,Honduras,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2007,Honduras,12,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2007,Honduras,102,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2007,Honduras,105,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2007,Honduras,207,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2007,Honduras,401,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,Honduras,403,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,Honduras,405,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,Honduras,406,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,Honduras,407,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2007,Honduras,511,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2007,Honduras,10511,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,Hong Kong  China,105,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,Hong Kong  China,207,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,Hong Kong  China,407,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,India,103,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,India,105,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,India,203,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,India,207,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
